,AUC,ACC,max_depth,eta,subsample,colsamp_bytree,colsamp_bylvl,min_child_weight,silent,objective,eval_metric,tree_method,alpha,gamma,lambda,scale_pos_weight
11,0.7882055152979065,90.7521578298397,8.0,0.3439557224789711,1.0,1.0,1.0,33.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",0.01622658050864645,14.711002860258777,0.010776891757132145,1.324565703664673
12,0.8909742351046699,91.86189889025894,2.0,0.26452086722201307,1.0,1.0,1.0,17.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",3.610460306549554,0.1797709746273385,1.952108787939066,3.4900883496451507
13,0.7663979468599034,90.7521578298397,48.0,0.04345044292309719,1.0,1.0,1.0,31.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",3.598403344429621,17.69602366371135,4.632590367796666,0.6879131406001926
14,0.8037983091787441,89.93012741471435,18.0,0.45942487967184253,1.0,1.0,1.0,95.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",4.859440494350571,1.471844171908085,3.925646783970608,2.442844165081314
15,0.8080646135265701,87.34073160706946,16.0,0.12482616285320935,1.0,1.0,1.0,71.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",3.809810995260323,1.6850082027576874,1.4262461447346015,2.8498739121665673
16,0.8318468196457329,83.97040690505548,15.0,0.9222953720281599,1.0,1.0,1.0,68.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",2.538408373021626,0.7853239513254534,3.4829575180008128,4.3818457300770985
17,0.8918176328502415,87.46403616933827,9.0,0.07880019807845817,1.0,1.0,1.0,33.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",0.5320541139885249,8.260712227012467,3.65252658707733,5.432179622615868
18,0.7948631239935589,87.5462392108508,48.0,0.2931782814070929,1.0,1.0,1.0,95.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",3.1265009678320874,12.853902995214728,3.916807642421436,3.025171429788899
19,0.8773812399355878,80.55898068228524,7.0,0.6286397994944434,1.0,1.0,1.0,74.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",4.208346740862336,6.961931599113674,3.3093565597537262,9.838533102514823
20,0.8817159822866344,82.03863542951089,44.0,0.8854517479368068,1.0,1.0,1.0,54.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",2.538314409888171,12.135362478762268,2.4333570582716475,8.070999432651423
21,0.8605394524959742,86.18988902589396,48.0,0.3616350261669765,1.0,1.0,1.0,74.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",0.9945555088236652,13.480848284868866,0.9494893363381857,5.289406926022701
22,0.881785426731079,84.17591450883683,35.0,0.1922885902566599,1.0,1.0,1.0,51.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",1.8695692629557397,18.08381414702427,1.0885044920708746,6.678632037125835
23,0.8786704911433172,87.83394985614467,6.0,0.06955514882374092,1.0,1.0,1.0,46.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",0.8077451787657669,22.059576878518442,0.292416460036497,5.546022824896778
24,0.8790469001610306,82.49075215782985,38.0,0.6612633185677101,1.0,1.0,1.0,28.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",4.767498738267514,14.405291243022496,3.678685893945217,9.317560394360774
25,0.7981280193236715,90.7521578298397,28.0,0.7730683407886919,1.0,1.0,1.0,17.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",4.6121704030913735,6.074931059893113,0.3047878573825791,1.035865019182115
26,0.8590247584541062,78.4217016029593,3.0,0.9852215206607577,1.0,1.0,1.0,65.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",4.5924674719785115,11.824323573614842,1.5680240488486463,8.781269649735922
27,0.7945692431561997,86.5187011919441,2.0,0.8553177210151469,1.0,1.0,1.0,63.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",2.994722922301145,10.176499037148416,0.2507116863197678,2.6446592148712766
28,0.8944867149758454,83.88820386354296,6.0,0.8664836667552697,1.0,1.0,1.0,11.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",2.4430285401447396,2.3581449122970555,2.3839425855446743,8.897127070057092
29,0.8569997987117552,80.1068639539663,14.0,0.38012622503916615,1.0,1.0,1.0,96.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",0.5593386266044753,16.474568737866576,4.596935654160376,7.4241668398099865
30,0.8820521336553945,93.91697492807234,15.0,0.4534103023684355,1.0,1.0,1.0,6.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",1.8149038359046676,8.857439164738846,2.6556306763527067,1.5544790977499046
31,0.8823802334943638,91.6563912864776,33.0,0.8341104266407503,1.0,1.0,1.0,14.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",4.926606894719061,10.27755690124345,0.2843978986434226,2.817562714578943
32,0.8689351851851852,93.25935059597205,39.0,0.1626540971560848,1.0,1.0,1.0,19.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",4.033874023985644,21.59591870924008,2.5391424849670923,2.1062965480694307
33,0.8137942834138485,84.75133579942458,2.0,0.3552707002275215,1.0,1.0,1.0,80.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",1.197261551690294,1.3542796808042628,4.2567127267206075,3.4288028779325863
34,0.8818478260869564,85.81997533908755,36.0,0.6701751743776934,1.0,1.0,1.0,20.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",1.2043579622361655,16.33638720664479,0.34260666351896174,6.874971288013305
35,0.8626187600644122,78.87381833127826,13.0,0.7018203134585513,1.0,1.0,1.0,87.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",2.83678471844455,16.154493782374608,0.3398043168787862,8.529128153918974
36,0.8639482689210949,85.81997533908755,46.0,0.6835476655366672,1.0,1.0,1.0,54.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",0.39378524145683047,1.5153168519253413,4.309096009850647,5.054090580979872
37,0.7851851851851852,90.7521578298397,42.0,0.07140250957854832,1.0,1.0,1.0,76.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",3.659537974223139,18.205339711029566,2.0188777565913876,2.5112125206989413
38,0.8789975845410628,82.36744759556103,45.0,0.6349782881970603,1.0,1.0,1.0,8.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",4.0801162671004425,20.01481277154247,4.707980636145447,9.08159046218572
39,0.7756209742351047,90.7521578298397,35.0,0.534139877029708,1.0,1.0,1.0,49.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",4.889922468386671,2.7317258061201,2.8483770506909245,0.5079889366253065
40,0.8799537037037037,85.03904644471845,27.0,0.24481092515142622,1.0,1.0,1.0,48.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",2.6635308476475785,4.789751803541351,2.894595287536053,6.342844473091942
41,0.8693951288244767,80.80558980682285,15.0,0.46226021185111577,1.0,1.0,1.0,76.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",0.6288025576022066,13.40714384775861,0.19870831144532197,8.293480893722192
42,0.7640066425120773,90.7521578298397,29.0,0.269947826784278,1.0,1.0,1.0,59.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",3.298754113736837,3.504557427369362,0.4099170274743774,0.4408676179905002
