iter,auc,time,verbosity,objective,metric,threads,eta,max_leaf,min_data,feature_frac,alpha,lambda,min_gain,max_bin
162,0.7565660225442834,0.3330807685852051,-1,binary,auc,9,0.001,5,5,0.1,1,5,100,100
163,0.7565660225442834,0.3274080753326416,-1,binary,auc,9,0.001,5,5,0.1,1,5,100,255
164,0.7565660225442834,0.3419528007507324,-1,binary,auc,9,0.001,5,5,0.1,1,5,100,500
165,0.6463758051529791,0.29358720779418945,-1,binary,auc,9,0.001,5,5,0.1,1,5,250,100
166,0.6463758051529791,0.29996180534362793,-1,binary,auc,9,0.001,5,5,0.1,1,5,250,255
167,0.6463758051529791,0.3024001121520996,-1,binary,auc,9,0.001,5,5,0.1,1,5,250,500
168,0.7734208937198068,0.4948387145996094,-1,binary,auc,9,0.001,5,5,0.1,1,25,0,100
169,0.7734168679549115,0.5332610607147217,-1,binary,auc,9,0.001,5,5,0.1,1,25,0,255
170,0.7734168679549115,0.5247159004211426,-1,binary,auc,9,0.001,5,5,0.1,1,25,0,500
171,0.7485738727858293,0.5264720916748047,-1,binary,auc,9,0.001,5,5,0.1,1,25,50,100
172,0.7485738727858293,0.38648486137390137,-1,binary,auc,9,0.001,5,5,0.1,1,25,50,255
173,0.7485738727858293,0.34644484519958496,-1,binary,auc,9,0.001,5,5,0.1,1,25,50,500
174,0.6380817230273751,0.30724596977233887,-1,binary,auc,9,0.001,5,5,0.1,1,25,100,100
175,0.6380817230273751,0.3104419708251953,-1,binary,auc,9,0.001,5,5,0.1,1,25,100,255
176,0.6380817230273751,0.31607913970947266,-1,binary,auc,9,0.001,5,5,0.1,1,25,100,500
177,0.4728381642512077,0.29157400131225586,-1,binary,auc,9,0.001,5,5,0.1,1,25,250,100
178,0.4728381642512077,0.28999996185302734,-1,binary,auc,9,0.001,5,5,0.1,1,25,250,255
179,0.4728381642512077,0.2909049987792969,-1,binary,auc,9,0.001,5,5,0.1,1,25,250,500
180,0.8113566827697263,0.5242400169372559,-1,binary,auc,9,0.001,5,5,0.1,5,0.0,0,100
181,0.8113566827697263,0.5288569927215576,-1,binary,auc,9,0.001,5,5,0.1,5,0.0,0,255
182,0.8113566827697263,0.5318901538848877,-1,binary,auc,9,0.001,5,5,0.1,5,0.0,0,500
183,0.7953250805152978,0.36122894287109375,-1,binary,auc,9,0.001,5,5,0.1,5,0.0,50,100
184,0.7953250805152978,0.36347293853759766,-1,binary,auc,9,0.001,5,5,0.1,5,0.0,50,255
185,0.7953250805152978,0.4151020050048828,-1,binary,auc,9,0.001,5,5,0.1,5,0.0,50,500
186,0.7585285829307571,0.33509206771850586,-1,binary,auc,9,0.001,5,5,0.1,5,0.0,100,100
187,0.7585285829307571,0.33525586128234863,-1,binary,auc,9,0.001,5,5,0.1,5,0.0,100,255
188,0.7585285829307571,0.3384060859680176,-1,binary,auc,9,0.001,5,5,0.1,5,0.0,100,500
