auc,depth,iterations,learning_rate,l2_leaf_reg,scale_pos_weight,verbose
0.8936684782608696,3,100,0.1,2,1,True
0.8907528180354267,3,100,0.1,2,10,True
0.8389915458937198,3,100,0.1,2,100,True
0.8915106682769727,3,100,0.1,3,1,True
0.8915448872785829,3,100,0.1,3,10,True
0.8401841787439612,3,100,0.1,3,100,True
0.8955988325281803,3,100,0.1,5,1,True
0.8911533816425121,3,100,0.1,5,10,True
0.8473641304347825,3,100,0.1,5,100,True
0.894873188405797,3,100,0.1,10,1,True
0.8918588969404189,3,100,0.1,10,10,True
0.8490740740740741,3,100,0.1,10,100,True
0.8947886473429951,3,100,0.1,25,1,True
0.894411231884058,3,100,0.1,25,10,True
0.8612983091787441,3,100,0.1,25,100,True
0.7985748792270532,3,100,0.5,0,1,True
0.7639925523349437,3,100,0.5,0,10,True
0.6572685185185185,3,100,0.5,0,100,True
0.8658665458937198,3,100,0.5,1,1,True
0.8469333735909823,3,100,0.5,1,10,True
0.8258283011272143,3,100,0.5,1,100,True
0.8551781400966184,3,100,0.5,2,1,True
0.8578985507246377,3,100,0.5,2,10,True
0.8315801127214172,3,100,0.5,2,100,True
0.8710215378421899,3,100,0.5,3,1,True
0.8544756441223832,3,100,0.5,3,10,True
0.8410004025764894,3,100,0.5,3,100,True
0.8694816827697263,3,100,0.5,5,1,True
0.8601912238325282,3,100,0.5,5,10,True
0.8477083333333333,3,100,0.5,5,100,True
0.884993961352657,3,100,0.5,10,1,True
0.8718478260869564,3,100,0.5,10,10,True
0.8534692028985508,3,100,0.5,10,100,True
0.8903683574879228,3,100,0.5,25,1,True
0.8753210547504024,3,100,0.5,25,10,True
0.8591807568438004,3,100,0.5,25,100,True
0.862566425120773,3,250,0.001,0,1,True
0.8683977455716586,3,250,0.001,0,10,True
0.7941505636070852,3,250,0.001,0,100,True
0.8599969806763286,3,250,0.001,1,1,True
0.8648902979066022,3,250,0.001,1,10,True
0.792548309178744,3,250,0.001,1,100,True
0.8523943236714977,3,250,0.001,2,1,True
0.8631682769726248,3,250,0.001,2,10,True
0.7904589371980675,3,250,0.001,2,100,True
0.8519394122383253,3,250,0.001,3,1,True
0.8634500805152979,3,250,0.001,3,10,True
0.7865338164251208,3,250,0.001,3,100,True
0.8520179146537843,3,250,0.001,5,1,True
0.8620632045088565,3,250,0.001,5,10,True
0.7855213365539452,3,250,0.001,5,100,True
0.8493126006441224,3,250,0.001,10,1,True
0.860143921095008,3,250,0.001,10,10,True
0.7831924315619968,3,250,0.001,10,100,True
0.8427868357487923,3,250,0.001,25,1,True
0.8606743156199679,3,250,0.001,25,10,True
0.777463768115942,3,250,0.001,25,100,True
0.8928482286634462,3,250,0.01,0,1,True
0.8852314814814816,3,250,0.01,0,10,True
0.8182528180354267,3,250,0.01,0,100,True
0.8885366344605474,3,250,0.01,1,1,True
0.8877385265700481,3,250,0.01,1,10,True
0.833605072463768,3,250,0.01,1,100,True
0.8907004830917874,3,250,0.01,2,1,True
0.8865952093397745,3,250,0.01,2,10,True
0.829043880837359,3,250,0.01,2,100,True
0.8914704106280193,3,250,0.01,3,1,True
0.886999798711755,3,250,0.01,3,10,True
0.8305505233494364,3,250,0.01,3,100,True
0.8907518115942029,3,250,0.01,5,1,True
0.8865710547504027,3,250,0.01,5,10,True
0.8293800322061192,3,250,0.01,5,100,True
0.890762882447665,3,250,0.01,10,1,True
0.8861906199677939,3,250,0.01,10,10,True
0.8280082528180354,3,250,0.01,10,100,True
0.8881300322061192,3,250,0.01,25,1,True
0.8851117149758454,3,250,0.01,25,10,True
0.8255545491143317,3,250,0.01,25,100,True
0.8652556360708534,3,250,0.1,0,1,True
0.8506048711755232,3,250,0.1,0,10,True
0.7706028582930757,3,250,0.1,0,100,True
0.8897705314009663,3,250,0.1,1,1,True
0.876652576489533,3,250,0.1,1,10,True
0.8220471014492754,3,250,0.1,1,100,True
0.8859601449275363,3,250,0.1,2,1,True
0.8809953703703703,3,250,0.1,2,10,True
0.8315368357487923,3,250,0.1,2,100,True
0.886471417069243,3,250,0.1,3,1,True
0.8818176328502415,3,250,0.1,3,10,True
0.8385336151368761,3,250,0.1,3,100,True
0.8916918276972624,3,250,0.1,5,1,True
0.8836574074074074,3,250,0.1,5,10,True
0.838779186795491,3,250,0.1,5,100,True
0.8897896537842189,3,250,0.1,10,1,True
